estado,ano,valor_real,valor_previsto,erro
Espírito Santo,2022,2675.0,2668.981666666667,-6.018333333332976
Espírito Santo,2023,2889.0,2668.981666666667,-220.01833333333298
Minas Gerais,2022,2355.0,2390.968888888889,35.96888888888907
Minas Gerais,2023,2680.0,2390.968888888889,-289.03111111111093
Rio de Janeiro,2022,3258.0,3416.538333333333,158.53833333333296
Rio de Janeiro,2023,3550.9999999999995,3416.538333333333,-134.4616666666666
São Paulo,2022,3329.0,3614.8933333333334,285.89333333333343
São Paulo,2023,3505.0,3614.8933333333334,109.89333333333343
