estado,ano,rendimento_medio_previsto
Espírito Santo,2024,2668.981666666667
Espírito Santo,2025,2668.981666666667
Espírito Santo,2026,2668.981666666667
Minas Gerais,2024,2390.968888888889
Minas Gerais,2025,2390.968888888889
Minas Gerais,2026,2390.968888888889
São Paulo,2024,3614.8933333333334
São Paulo,2025,3614.8933333333334
São Paulo,2026,3614.8933333333334
Rio de Janeiro,2024,3416.538333333333
Rio de Janeiro,2025,3416.538333333333
Rio de Janeiro,2026,3416.538333333333
