estado,ano,valor_real,valor_previsto,erro
Espírito Santo,2022,2675.0,2492.2031,-182.796875
Espírito Santo,2023,2889.0,2757.467,-131.532958984375
Minas Gerais,2022,2355.0,2378.2366,23.236572265625
Minas Gerais,2023,2680.0,2407.8904,-272.109619140625
Rio de Janeiro,2022,3258.0,3350.2732,92.273193359375
Rio de Janeiro,2023,3550.9999999999995,3513.3845,-37.615478515624545
São Paulo,2022,3329.0,3503.238,174.238037109375
São Paulo,2023,3505.0,3506.5845,1.58447265625
