estado,ano,rendimento_medio_previsto
Espírito Santo,2024,2686.309754656788
Espírito Santo,2025,2684.9027270968986
Espírito Santo,2026,2683.495699537009
Minas Gerais,2024,2415.7112563761893
Minas Gerais,2025,2422.003860616448
Minas Gerais,2026,2428.296464856707
São Paulo,2024,3556.48170323335
São Paulo,2025,3539.624234888447
São Paulo,2026,3522.7667665435447
Rio de Janeiro,2024,3350.6745822466905
Rio de Janeiro,2025,3335.4240082674105
Rio de Janeiro,2026,3320.173434288131
