estado,ano,indice_real,indice_previsto_xgb,indice_previsto_rf,indice_previsto_rl
Rio de Janeiro,2023,3550.9999999999995,3513.3845,3416.538333333333,3403.3627392845615
São Paulo,2023,3505.0,3506.5845,3614.8933333333334,3562.1547752106985
São Paulo,2022,3329.0,3503.238,3614.8933333333334,3636.115766129581
Rio de Janeiro,2022,3258.0,3350.2732,3416.538333333333,3328.768781638082
Espírito Santo,2023,2889.0,2757.467,2668.981666666667,2796.2755377188305
Minas Gerais,2023,2680.0,2407.8904,2390.968888888889,2430.7588241255276
Espírito Santo,2022,2675.0,2492.2031,2668.981666666667,2660.3786489634467
Minas Gerais,2022,2355.0,2378.2366,2390.968888888889,2381.408394151535
