estado,ano,valor_real,valor_previsto,erro
Espírito Santo,2022,2675.0,2660.3786489634467,-14.621351036553278
Espírito Santo,2023,2889.0,2796.2755377188305,-92.72446228116951
Minas Gerais,2022,2355.0,2381.408394151535,26.40839415153505
Minas Gerais,2023,2680.0,2430.7588241255276,-249.24117587447245
Rio de Janeiro,2022,3258.0,3328.768781638082,70.76878163808215
Rio de Janeiro,2023,3550.9999999999995,3403.3627392845615,-147.63726071543806
São Paulo,2022,3329.0,3636.115766129581,307.11576612958106
São Paulo,2023,3505.0,3562.1547752106985,57.15477521069852
